"CARACTERIZACIONID","CARACTERIZACIONNOMBRE","CARACTERIZACIONFECHA","CARACTERIZACIONESTADO","CARACTERIZACIONCODIGOVERE"
1,"INDÍGENAS DESPLAZADOS POR LA VIOLENCIA",22/08/22,"1                                            ","101"
2,"INDÍGENAS DESPLAZADOS POR LA VIOLENCIA CABEZA DE FAMILIA",19/07/22,"1                                            ","103"
3,"AFROCOLOMBIANOS DESPLAZADOS POR LA VIOLENCIA",19/07/22,"1                                            ","127"
4,"AFROCOLOMBIANOS DESPLAZADOS POR LA VIOLENCIA CABEZA DE FAMILIA",19/07/22,"1                                            ","106"
5,"DESPLAZADOS POR LA VIOLENCIA",19/07/22,"1                                            ","3"
6,"DESPLAZADOS POR LA VIOLENCIA CABEZA DE FAMILIA",19/07/22,"1                                            ","125"
7,"DESPLAZADOS DISCAPACITADOS",19/07/22,"1                                            ","129"
8,"DESPLAZADOS POR FENOMENOS NATURALES",19/07/22,"1                                            ","4"
9,"DESPLAZADOS POR FENÓMENOS NATURALES CABEZA DE FAMILIA",19/07/22,"1                                            ","126"
10,"DISCAPACITADOS",19/07/22,"1                                            ","121"
11,"DISCAPACIDAD AUDITIVA",19/07/22,"1                                            ","24"
12,"DISCAPACIDAD FÍSICA",19/07/22,"1                                            ","26"
13,"DISCAPACIDAD INTELECTUAL",19/07/22,"1                                            ","104"
14,"DISCAPACIDAD MÚLTIPLE",19/07/22,"1                                            ","161"
15,"DISCAPACIDAD PSICOSOCIAL",19/07/22,"1                                            ","105"
16,"DISCAPACIDAD VISUAL",19/07/22,"1                                            ","25"
17,"SORDOCEGUERA",19/07/22,"1                                            ","162"
18,"ADOLESCENTE EN CONFLICTO CON LA LEY PENAL",19/07/22,"1                                            ","9"
19,"ADOLESCENTE TRABAJADOR",19/07/22,"1                                            ","14"
20,"INDIGENA",19/07/22,"1                                            ","6"
21,"INPEC",19/07/22,"1                                            ","122"
22,"JOVENES VULNERABLES",19/07/22,"1                                            ","8"
23,"MUJER CABEZA DE FAMILIA",19/07/22,"1                                            ","10"
24,"NEGRO",19/07/22,"1                                            ","11"
25,"PERSONAS EN PROCESO DE REINTEGRACIÓN",19/07/22,"1                                            ","12"
26,"ADOLESCENTE DESVINCULADO DE GRUPOS ARMADOS ORGANIZADOS AL MARGEN DE LA LEY",19/07/22,"1                                            ","128"
27,"REMITIDOS POR EL PAL",19/07/22,"1                                            ","19"
28,"SOBREVIVIENTES MINAS ANTIPERSONALES",19/07/22,"1                                            ","33"
29,"SOLDADOS CAMPESINOS",19/07/22,"1                                            ","20"
30,"AFROCOLOMBIANO",19/07/22,"1                                            ","130"
31,"TERCERA EDAD",19/07/22,"1                                            ","13"
32,"PALENQUERO",19/07/22,"1                                            ","131"
33,"RAIZAL",19/07/22,"1                                            ","132"
34,"GITANOS (ROM)",19/07/22,"1                                            ","133"
35,"NINGUNA",19/07/22,"1                                            ","34"
36,"ARTESANOS",19/07/22,"1                                            ","123"
37,"EMPRENDEDORES",19/07/22,"1                                            ","64"
38,"MICROEMPRESAS",19/07/22,"1                                            ","124"
39,"REMITIDOS POR EL CIE",19/07/22,"1                                            ","102"
40,"ABANDONO O DESPOJO FORZADO DE TIERRAS",19/07/22,"1                                            ","142"
41,"ACTOS TERRORISTA/ATENTADOS/COMBATES/ENFRENTAMIENTOS/HOSTIGAMIENTOS",19/07/22,"1                                            ","143"
42,"AMENAZA",19/07/22,"1                                            ","135"
43,"DELITOS CONTRA LA LIBERTAD Y LA INTEGRIDAD SEXUAL EN DESARROLLO DEL CONFLICTO ARMADO",19/07/22,"1                                            ","136"
44,"DESAPARICIÓN FORZADA",19/07/22,"1                                            ","137"
45,"HOMICIDIO / MASACRE",19/07/22,"1                                            ","138"
46,"SECUESTRO",19/07/22,"1                                            ","139"
47,"TORTURA",19/07/22,"1                                            ","140"
48,"MINAS ANTIPERSONAL, MUNICIÓN SIN EXPLOTAR, Y ARTEFACTO «EXPLOSIVO IMPROVISADO",19/07/22,"1                                            ","134"
49,"VINCULACIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES A ACTIVIDADES RELACIONADAS CON GRUPOS ARMADOS",19/07/22,"1                                            ","141"
50,"HERIDO",19/07/22,"1                                            ","144"
51,"RECLUTAMIENTO FORZADO",19/07/22,"1                                            ","145"
61,"CAMPESINO",01/11/22,"1                                            ","200"
81,"DIVERSIDAD SEXUAL: RECONOCE CARACTERÍSTICAS PARTICULARES EN RAZÓN DE LAS IDENTIDADES DE GÉNERO Y LAS ORIENTACIONES SEXUALES DIVERSAS",01/11/24,"1                                            ","62"
82,"ENFOQUE DIFERENCIAL Y CONFLICTO ARMADO: DESPLAZAMIENTO FORZADO, VÍCTIMAS DEL CONFLICTO",01/11/24,"1                                            ","63"
