"CIUDADID","DEPARTAMENTOID","CIUDADNOMBRE","CIUDADNOMCIUDEP"
5376,5,"LA CEJA                                                     ","LA CEJA(ANTIOQUIA)                                                                                  "
5380,5,"LA ESTRELLA                                                 ","LA ESTRELLA(ANTIOQUIA)                                                                              "
5390,5,"LA PINTADA                                                  ","LA PINTADA(ANTIOQUIA)                                                                               "
5400,5,"LA UNIÓN                                                    ","LA UNIÓN(ANTIOQUIA)                                                                                 "
5411,5,"LIBORINA                                                    ","LIBORINA(ANTIOQUIA)                                                                                 "
5425,5,"MACEO                                                       ","MACEO(ANTIOQUIA)                                                                                    "
5440,5,"MARINILLA                                                   ","MARINILLA(ANTIOQUIA)                                                                                "
5467,5,"MONTEBELLO                                                  ","MONTEBELLO(ANTIOQUIA)                                                                               "
5475,5,"MURINDÓ                                                     ","MURINDÓ(ANTIOQUIA)                                                                                  "
5480,5,"MUTATÁ                                                      ","MUTATÁ(ANTIOQUIA)                                                                                   "
5483,5,"NARIÑO                                                      ","NARIÑO(ANTIOQUIA)                                                                                   "
5490,5,"NECOCLÍ                                                     ","NECOCLÍ(ANTIOQUIA)                                                                                  "
5495,5,"NECHÍ                                                       ","NECHÍ(ANTIOQUIA)                                                                                    "
5501,5,"OLAYA                                                       ","OLAYA(ANTIOQUIA)                                                                                    "
5541,5,"PEÑOL                                                       ","PEÑOL(ANTIOQUIA)                                                                                    "
5543,5,"PEQUE                                                       ","PEQUE(ANTIOQUIA)                                                                                    "
5576,5,"PUEBLORRICO                                                 ","PUEBLORRICO(ANTIOQUIA)                                                                              "
5579,5,"PUERTO BERRÍO                                               ","PUERTO BERRÍO(ANTIOQUIA)                                                                            "
5585,5,"PUERTO NARE                                                 ","PUERTO NARE(ANTIOQUIA)                                                                              "
5591,5,"PUERTO TRIUNFO                                              ","PUERTO TRIUNFO(ANTIOQUIA)                                                                           "
5604,5,"REMEDIOS                                                    ","REMEDIOS(ANTIOQUIA)                                                                                 "
5607,5,"RETIRO                                                      ","RETIRO(ANTIOQUIA)                                                                                   "
5237,5,"DON MATÍAS                                                  ","DON MATÍAS(ANTIOQUIA)                                                                               "
5240,5,"EBÉJICO                                                     ","EBÉJICO(ANTIOQUIA)                                                                                  "
5250,5,"EL BAGRE                                                    ","EL BAGRE(ANTIOQUIA)                                                                                 "
5264,5,"ENTRERRIOS                                                  ","ENTRERRIOS(ANTIOQUIA)                                                                               "
5266,5,"ENVIGADO                                                    ","ENVIGADO(ANTIOQUIA)                                                                                 "
5282,5,"FREDONIA                                                    ","FREDONIA(ANTIOQUIA)                                                                                 "
5284,5,"FRONTINO                                                    ","FRONTINO(ANTIOQUIA)                                                                                 "
5306,5,"GIRALDO                                                     ","GIRALDO(ANTIOQUIA)                                                                                  "
5308,5,"GIRARDOTA                                                   ","GIRARDOTA(ANTIOQUIA)                                                                                "
5310,5,"GÓMEZ PLATA                                                 ","GÓMEZ PLATA(ANTIOQUIA)                                                                              "
5313,5,"GRANADA                                                     ","GRANADA(ANTIOQUIA)                                                                                  "
5315,5,"GUADALUPE                                                   ","GUADALUPE(ANTIOQUIA)                                                                                "
5318,5,"GUARNE                                                      ","GUARNE(ANTIOQUIA)                                                                                   "
5321,5,"GUATAPE                                                     ","GUATAPE(ANTIOQUIA)                                                                                  "
5347,5,"HELICONIA                                                   ","HELICONIA(ANTIOQUIA)                                                                                "
5353,5,"HISPANIA                                                    ","HISPANIA(ANTIOQUIA)                                                                                 "
5360,5,"ITAGUI                                                      ","ITAGUI(ANTIOQUIA)                                                                                   "
5361,5,"ITUANGO                                                     ","ITUANGO(ANTIOQUIA)                                                                                  "
5364,5,"JARDÍN                                                      ","JARDÍN(ANTIOQUIA)                                                                                   "
5368,5,"JERICÓ                                                      ","JERICÓ(ANTIOQUIA)                                                                                   "
5615,5,"RIONEGRO                                                    ","RIONEGRO(ANTIOQUIA)                                                                                 "
5628,5,"SABANALARGA                                                 ","SABANALARGA(ANTIOQUIA)                                                                              "
5631,5,"SABANETA                                                    ","SABANETA(ANTIOQUIA)                                                                                 "
5642,5,"SALGAR                                                      ","SALGAR(ANTIOQUIA)                                                                                   "
5647,5,"SAN ANDRÉS                                                  ","SAN ANDRÉS(ANTIOQUIA)                                                                               "
5649,5,"SAN CARLOS                                                  ","SAN CARLOS(ANTIOQUIA)                                                                               "
5652,5,"SAN FRANCISCO                                               ","SAN FRANCISCO(ANTIOQUIA)                                                                            "
5656,5,"SAN JERÓNIMO                                                ","SAN JERÓNIMO(ANTIOQUIA)                                                                             "
5658,5,"SAN JOSÉ DE LA MONTAÑA                                      ","SAN JOSÉ DE LA MONTAÑA(ANTIOQUIA)                                                                   "
5659,5,"SAN JUAN DE URABÁ                                           ","SAN JUAN DE URABÁ(ANTIOQUIA)                                                                        "
5660,5,"SAN LUIS                                                    ","SAN LUIS(ANTIOQUIA)                                                                                 "
5664,5,"SAN PEDRO                                                   ","SAN PEDRO(ANTIOQUIA)                                                                                "
5665,5,"SAN PEDRO DE URABA                                          ","SAN PEDRO DE URABA(ANTIOQUIA)                                                                       "
5667,5,"SAN RAFAEL                                                  ","SAN RAFAEL(ANTIOQUIA)                                                                               "
5670,5,"SAN ROQUE                                                   ","SAN ROQUE(ANTIOQUIA)                                                                                "
5674,5,"SAN VICENTE                                                 ","SAN VICENTE(ANTIOQUIA)                                                                              "
5679,5,"SANTA BÁRBARA                                               ","SANTA BÁRBARA(ANTIOQUIA)                                                                            "
5686,5,"SANTA ROSA DE OSOS                                          ","SANTA ROSA DE OSOS(ANTIOQUIA)                                                                       "
5690,5,"SANTO DOMINGO                                               ","SANTO DOMINGO(ANTIOQUIA)                                                                            "
5697,5,"EL SANTUARIO                                                ","EL SANTUARIO(ANTIOQUIA)                                                                             "
1,1,"NINGUNA                                                     ","NINGUNA                                                                                             "
5001,5,"MEDELLÍN                                                    ","MEDELLÍN(ANTIOQUIA)                                                                                 "
5002,5,"ABEJORRAL                                                   ","ABEJORRAL(ANTIOQUIA)                                                                                "
5004,5,"ABRIAQUÍ                                                    ","ABRIAQUÍ(ANTIOQUIA)                                                                                 "
5021,5,"ALEJANDRÍA                                                  ","ALEJANDRÍA(ANTIOQUIA)                                                                               "
5030,5,"AMAGÁ                                                       ","AMAGÁ(ANTIOQUIA)                                                                                    "
5031,5,"AMALFI                                                      ","AMALFI(ANTIOQUIA)                                                                                   "
5034,5,"ANDES                                                       ","ANDES(ANTIOQUIA)                                                                                    "
5036,5,"ANGELÓPOLIS                                                 ","ANGELÓPOLIS(ANTIOQUIA)                                                                              "
5038,5,"ANGOSTURA                                                   ","ANGOSTURA(ANTIOQUIA)                                                                                "
