"DEPARTAMENTOID","PAISID","DEPARTAMENTONOMBRE"
1,170,"NINGUNO                                                     "
5,170,"ANTIOQUIA                                                   "
8,170,"ATLÁNTICO                                                   "
11,170,"BOGOTÁ D.C                                                  "
13,170,"BOLÍVAR                                                     "
15,170,"BOYACÁ                                                      "
17,170,"CALDAS                                                      "
18,170,"CAQUETÁ                                                     "
19,170,"CAUCA                                                       "
20,170,"CESAR                                                       "
23,170,"CÓRDOBA                                                     "
25,170,"CUNDINAMARCA                                                "
27,170,"CHOCÓ                                                       "
41,170,"HUILA                                                       "
44,170,"LA GUAJIRA                                                  "
47,170,"MAGDALENA                                                   "
50,170,"META                                                        "
52,170,"NARIÑO                                                      "
54,170,"NORTE DE SANTANDER                                          "
63,170,"QUINDIO                                                     "
66,170,"RISARALDA                                                   "
68,170,"SANTANDER                                                   "
70,170,"SUCRE                                                       "
73,170,"TOLIMA                                                      "
76,170,"VALLE DEL CAUCA                                             "
81,170,"ARAUCA                                                      "
85,170,"CASANARE                                                    "
86,170,"PUTUMAYO                                                    "
88,170,"ARCHIPIÉLAGO DE SAN                                         "
91,170,"AMAZONAS                                                    "
94,170,"GUAINÍA                                                     "
95,170,"GUAVIARE                                                    "
97,170,"VAUPÉS                                                      "
99,170,"VICHADA                                                     "
100,170,"NACIONAL                                                    "
