"TAMANOEMPRESAID","TAMANOEMPRESANOMBRE","TAMANOEMPRESAESTADO"
1,"GRANDE - COMERCIO (SUPERIOR A $104.600.300.908)",1
2,"GRANDE - SERVICIOS (SUPERIOR A $24.054.610.166)",1
3,"GRANDE - MANUFACTURA (SUPERIOR A $86.479.200.435)",1
4,"MEDIANA - COMERCIO (SUPERIOR A $21.473.129.604 Y HASTA $104.600.300.908)",1
41,"MEDIANA - MANUFACTURA (SUPERIOR A $10.208.546.005 Y HASTA $86.479.200.435)",1
42,"MEDIANA - SERVICIOS (SUPERIOR A $6.571.027.849 Y HASTA $24.054.610.166)",1
43,"MICROEMPRESA - MANUFACTURA (HASTA $1.173.413.837)",1
44,"MICROEMPRESA - SERVICIOS (HASTA $1.642.769.412)",1
45,"MICROEMPRESA - COMERCIO (HASTA $2.229.451.431)",1
46,"PEQUEÑA - MANUFACTURA (SUPERIOR A $1.173.413.837 Y HASTA $10.208.546.005)",1
47,"PEQUEÑA - SERVICIOS (SUPERIOR A $1.642.769.412 Y HASTA $6.571.027.489)",1
48,"PEQUEÑA - COMERCIO (SUPERIOR A $2.229.451.431 Y HASTA $21.473.129.604)",1
