"TIPODOCUMENTOIDENTIDADID","TIPODOCUMENTOIDENTIDADNOMBRE","TIPODOCUMENTOIDENTIDADPERSONA","TIPODOCUMENTOIDENTIDADEMPRESA","TIPODOCUMENTOIDENTIDADSIGLA"
1,"Cédula de Ciudadanía",1,0,"C.C.     "
2,"Tarjeta de Identidad          ",1,0,"T.I.     "
3,"Cédula de Extranjería         ",1,0,"C.E.     "
4,"Permiso Especial de Permanencia",1,0,"P.E.P.   "
5,"Otro                          ",1,1,"O.T.     "
6,"Nit                           ",0,1,"N.I.T.   "
7,"Nis                           ",0,1,"N.I.S.   "
21,"RUT",0,1,"R.U.T.   "
81,"Documento Nacional de Identidad",1,0,"D.N.I    "
82,"Cédula de Identidad",1,0,"C.I      "
41,"Pasaporte",1,0,"Pasaporte"
101,"Documento Personal de Identificación",1,0,"D.P.I.   "
121,"Número De Seguridad Social",1,0,"N.S.S    "
61,"Permiso por Protección Temporal",1,0,"P.P.T    "
141,"EIN",0,1,"E.I.N.   "
